neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description
Sunnyvale Estates,$950000,4,3,2500,"Welcome to Sunnyvale Estates, where luxury meets comfort. This stunning 4-bedroom, 3-bathroom home features high-end finishes, a gourmet kitchen, and a spacious backyard perfect for entertaining. Enjoy the peaceful surroundings and upscale living in this exclusive neighborhood.","Sunnyvale Estates is a prestigious community known for its top-rated schools, upscale shopping, and beautiful parks. Residents can enjoy a round of golf at the nearby country club or take a leisurely stroll along the tree-lined streets."
Oceanfront Oasis,$1500000,5,4,3500,"Step into this oceanfront oasis and experience luxury living at its finest. This 5-bedroom, 4-bathroom home offers breathtaking views of the ocean, a private beach access, and a rooftop deck for sunset cocktails. The open floor plan and high ceilings create a sense of space and light, while the designer finishes add a touch of elegance to every room.","Oceanfront Oasis is a sought-after neighborhood with exclusive beachfront properties and upscale dining options. Residents can enjoy water sports, beach picnics, and stunning sunsets right in their backyard."
Mountain Retreat,$750000,3,2,2000,"Escape to this mountain retreat and immerse yourself in nature's beauty. This cozy 3-bedroom, 2-bathroom home features a stone fireplace, a wrap-around deck, and panoramic mountain views. The rustic charm and peaceful surroundings make this the perfect getaway for nature lovers and outdoor enthusiasts.","Mountain Retreat is a secluded community surrounded by hiking trails, wildlife, and fresh mountain air. Residents can explore the nearby national park, go fishing in the mountain streams, or simply relax and unwind in the tranquility of their own backyard."
Urban Chic Loft,$600000,2,1,1500,"Live in style in this urban chic loft located in the heart of the city. This 2-bedroom, 1-bathroom loft features exposed brick walls, high ceilings, and industrial accents. The open floor plan and modern design create a trendy and vibrant living space perfect for young professionals and city dwellers.","Urban Chic Loft is a vibrant neighborhood with trendy cafes, art galleries, and boutique shops. Residents can walk to the nearby farmers market, catch a show at the local theater, or hop on the subway for a night out in the city."
Lakefront Haven,$1200000,4,3,3000,"Discover serenity in this lakefront haven nestled among the trees. This 4-bedroom, 3-bathroom home offers stunning lake views, a private dock, and a screened-in porch for lazy afternoons by the water. The spacious layout and natural light create a peaceful retreat for relaxation and rejuvenation.","Lakefront Haven is a tranquil neighborhood with access to boating, fishing, and water sports. Residents can enjoy picnics by the lake, birdwatching in the nature reserve, and evening bonfires under the stars."
Luxury Penthouse,$2000000,3,3,4000,"Experience luxury living in this stunning penthouse with panoramic city views. This 3-bedroom, 3-bathroom penthouse features a private elevator, a rooftop terrace, and high-end finishes throughout. The spacious layout and modern design create a sophisticated and elegant living space perfect for discerning buyers.","Luxury Penthouse is an exclusive neighborhood with upscale dining, designer boutiques, and cultural attractions. Residents can enjoy rooftop cocktails, spa treatments, and private events in the comfort of their own penthouse."
Country Cottage,$500000,2,2,1200,"Escape to this charming country cottage surrounded by rolling hills and lush gardens. This 2-bedroom, 2-bathroom home features a cozy fireplace, a screened-in porch, and a vegetable garden for farm-to-table dining. The quaint charm and peaceful setting make this the perfect retreat for nature lovers and garden enthusiasts.","Country Cottage is a picturesque neighborhood with horse farms, vineyards, and farmers markets. Residents can explore the countryside, go horseback riding, or attend a wine tasting at the nearby vineyard."
Modern Townhouse,$700000,3,2,1800,"Live in style in this modern townhouse with sleek design and urban amenities. This 3-bedroom, 2-bathroom townhouse features a gourmet kitchen, a private patio, and a rooftop deck with city views. The contemporary finishes and open layout create a chic and sophisticated living space perfect for modern living.","Modern Townhouse is a trendy neighborhood with hip cafes, art galleries, and boutique shops. Residents can walk to the nearby park, bike along the riverfront, or attend a yoga class at the local studio."
Golf Course Retreat,$800000,4,3,2200,"Enjoy resort-style living in this golf course retreat with stunning fairway views. This 4-bedroom, 3-bathroom home features a gourmet kitchen, a screened-in lanai, and a pool for outdoor entertaining. The lush landscaping and peaceful surroundings create a private oasis for relaxation and recreation.","Golf Course Retreat is a prestigious community with exclusive golf course properties and upscale amenities. Residents can tee off at the nearby country club, dine at the clubhouse restaurant, or relax by the pool with friends and family."
Beachfront Bungalow,$1000000,3,2,1800,"Wake up to the sound of waves in this beachfront bungalow with panoramic ocean views. This 3-bedroom, 2-bathroom home features a private deck, a hot tub, and direct beach access for endless summer fun. The coastal decor and casual vibe create a laid-back retreat for beach lovers and sun seekers.","Beachfront Bungalow is a popular neighborhood with sandy beaches, surf shops, and beachfront cafes. Residents can swim, surf, and sunbathe right outside their doorstep, or take a leisurely bike ride along the boardwalk."
